replicate,d1_no_gel_4ml_control,d1_no_gel_4ml_experiment,d2_no_gel_4ml_control,d2_no_gel_4ml_experiment,d1_gel_day1_3_5ml_control,d1_gel_day1_3_5ml_experiment,d2_gel_day1_3_5ml_control,d2_gel_day1_3_5ml_experiment,d1_gel_day2_3_5ml_control,d1_gel_day2_3_5ml_experiment,d2_gel_day2_3_5ml_control,d2_gel_day2_3_5ml_experiment
1,93.7,98.0,87.5,90.6,98.6,96.8,85.1,89.4,97.6,98.8,90.1,92.0
2,94.9,97.4,86.9,88.2,99.2,98.0,85.1,87.5,98.8,98.8,87.6,89.5
3,93.7,95.5,89.4,88.2,96.2,98.6,86.3,85.1,98.8,101.9,87.6,88.9
4,93.7,94.9,88.8,88.2,97.4,98.0,85.1,85.1,97.6,99.4,87.6,87.6
